Body_Mass	Max_Longevity	Species
5.5254529391317835	3.3178157727231046	Abrocoma bennettii
10.829728615263452	5.429345628954441	Acinonyx jubatus
3.7184382563554808	4.0943445622221	Acomys cahirinus
2.631888840136646	4.45898767581001	Acrobates pygmaeus
11.45846927917417	5.7302296446710494	Addax nasomaculatus
10.864751650053014	5.3612921657094255	Aepyceros melampus
7.937374696163295	4.564348191467836	Aepyprymnus rufescens
9.009447429596793	5.2574953720277815	Agouti paca
11.678439903447801	5.886104031450156	Ailuropoda melanoleuca
8.550627967502475	5.123963979403259	Ailurus fulgens
2.9444389791664403	2.4849066497880004	Akodon xanthorhinus
12.007621706806335	5.480638923341991	Alcelaphus buselaphus
13.083622549087899	5.780743515792329	Alces alces
5.44673737166631	3.919991175077323	Allactaga euphratica
8.465899897028686	5.62040086571715	Allenopithecus nigroviridis
8.1886891244442	5.19295685089021	Alopex lagopus
8.628734566149145	5.495527535835742	Alouatta caraya
8.791790024319363	5.703782474656201	Alouatta palliata
8.881836305004146	5.480638923341991	Alouatta pigra
8.767173396684006	5.703782474656201	Alouatta seniculus
8.169053149927343	4.795790545596741	Amblonyx cinereus
4.213607983048918	2.4849066497880004	Amblysomus hottentotus
10.239959789157341	3.58351893845611	Ammodorcas clarkei
4.6443908991413725	4.242764567340374	Ammospermophilus leucurus
5.075173815233827	4.189654742026425	Ammospermophilus nelsoni
11.442503000673682	5.529429087511423	Ammotragus lervia
2.70805020110221	4.787491742782046	Anoura geoffroyi
3.673765816303888	3.3178157727231046	Antechinus bellus
3.8022081394209395	3.7376696182833684	Antechinus flavipes
4.264087336809195	3.1780538303479458	Antechinus leo
3.975936331171799	3.1780538303479458	Antechinus minimus
3.391147045808654	3.58351893845611	Antechinus stuartii
4.174387269895637	3.1780538303479458	Antechinus swainsonii
10.410305154904579	5.480638923341991	Antidorcas marsupialis
10.75577295443437	4.969813299576001	Antilocapra americana
10.48849257447637	5.493061443340548	Antilope cervicapra
3.100092288878234	4.693181063310805	Antrozous pallidus
9.852194258148577	4.882801922586371	Aonyx capensis
6.78105762593618	5.375278407684165	Aotus lemurinus
6.815639990074331	5.715711045521475	Aotus trivirgatus
6.692083742506628	4.787491742782046	Aplodontia rufa
3.0492730404820207	3.871201010907891	Apodemus agrarius
3.4531571205928664	3.871201010907891	Apodemus flavicollis
3.086486636822455	3.966511190712216	Apodemus sylvaticus
9.472704636443673	5.607271574275357	Arctictis binturong
5.552959584921617	5.049856007249537	Arctocebus calabarensis
11.131665045558881	5.529429087511423	Arctocephalus australis
11.522875795823397	5.19295685089021	Arctocephalus forsteri
9.008224187854049	5.117993812416755	Arctonyx collaris
3.728100167267218	4.787491742782046	Artibeus jamaicensis
5.393627546352362	3.7376696182833684	Arvicola sapidus
4.787491742782046	4.0943445622221	Arvicola terrestris
8.812843433517195	5.817111159963204	Ateles belzebuth
9.112727543109182	5.662960480135946	Ateles fusciceps
8.937218450855731	5.791793351978915	Ateles geoffroyi
9.072227069846548	6.117215752413542	Ateles paniscus
9.031213706078747	4.882801922586371	Atelocynus microtis
7.965545573129992	5.616043560348194	Atherurus africanus
8.1886891244442	5.342334251964811	Atilax paludinosus
5.5254529391317835	4.68213122712422	Atlantoxerus getulus
11.149082031552883	5.519859636495273	Axis axis
10.521372248595526	5.480638923341991	Axis porcinus
11.426277658244556	5.662960480135946	Babyrousa babyrussa
2.0068708488450007	3.6666338451666167	Baiomys taylori
18.193780143760442	6.173786103901937	Balaena mysticetus
15.536489845131282	6.396929655216146	Balaenoptera acutorostrata
16.911088166487982	6.78897174299217	Balaenoptera borealis
16.811242831518264	6.761572768804055	Balaenoptera edeni
18.852463160377905	7.1853870155804165	Balaenoptera musculus
17.676240269004868	7.238496840894365	Balaenoptera physalus
2.1102132003465894	5.529429087511423	Barbastella barbastellus
7.1308988302963465	5.703782474656201	Bassaricyon gabbii
13.731041401337825	5.82600010738045	Bubalus bubalis
12.449018824140563	6.070645344982423	Bubalus depressicornis
10.584055950889214	5.575949103146316	Arctocephalus galapagoensis
11.47833402020061	5.62040086571715	Arctocephalus gazella
12.095141084822892	5.529429087511423	Arctocephalus pusillus
11.522875795823397	5.662960480135946	Arctocephalus townsendi
11.431715409544685	5.62040086571715	Arctocephalus tropicalis
7.749322464660356	5.247024072160486	Arctogalidia trivirgata
6.86484777797086	4.430816798843313	Atelerix algirus
6.927557906278317	5.288267030694535	Bassariscus astutus
6.80903930604298	5.62040086571715	Bassariscus sumichrasti
7.8709295967551425	5.247024072160486	Bdeogale nigripes
16.249123913364723	6.747586526829315	Berardius bairdii
5.860786223465865	3.5496173867804286	Berylmys bowersi
7.414572881350589	4.953006181259619	Bettongia gaimardi
7.27931883541462	4.787491742782046	Bettongia lesueur
7.138866999945524	4.430816798843313	Bettongia penicillata
13.337474757021274	5.981414211254481	Bison bison
13.419500608626866	5.780743515792329	Bison bonasus
2.91235066461494	3.4965075614664802	Blarina brevicauda
13.592367006650065	5.7506660605550515	Bos frontalis
13.122363377404328	5.58724865840025	Bos grunniens
13.348701819615057	5.765065703073099	Bos javanicus
13.32612021491835	5.480638923341991	Bos taurus
12.106252310247962	5.562218910334414	Boselaphus tragocamelus
8.40737832540903	4.969813299576001	Bradypus torquatus
12.43320821811392	5.817111159963204	Bubalus mindorensis
12.100712129872347	5.598421958998375	Bubalus quarlesi
12.581078546153629	5.459415286890365	Budorcas taxicolor
3.7909846770510898	4.969813299576001	Burramys parvus
8.13739583005665	5.780743515792329	Cacajao calvus
8.0519780789023	5.375278407684165	Cacajao melanocephalus
